Date,Open,High,Low,Close,Adj Close,Volume,sentiment
2014-01-02,398.799988,399.359985,394.019989,397.970001,397.970001,2137800,-1.0
2014-01-03,398.290009,402.709991,396.220001,396.440002,396.440002,2210200,0.0
2014-01-06,395.850006,397.0,388.420013,393.630005,393.630005,3170600,-1.0
2014-01-07,395.040009,398.470001,394.290009,398.029999,398.029999,1916000,0.0
2014-01-08,398.470001,403.0,396.040009,401.920013,401.920013,2316500,1.0
2014-01-09,403.709991,406.890015,398.440002,401.01001,401.01001,2103000,1.0
2014-01-10,402.529999,403.76001,393.799988,397.660004,397.660004,2679500,-1.0
2014-01-13,397.980011,399.779999,388.450012,390.980011,390.980011,2844900,1.0
2014-01-14,392.130005,398.630005,391.290009,397.540009,397.540009,2340100,-1.0
2014-01-15,398.940002,399.309998,392.529999,395.869995,395.869995,2678300,1.0
2014-01-16,393.679993,399.290009,389.410004,395.799988,395.799988,2601200,-1.0
2014-01-17,394.26001,403.48999,393.660004,399.609985,399.609985,4505100,0.0
2014-01-21,403.0,407.799988,401.600006,407.049988,407.049988,3122100,1.0
2014-01-22,408.0,408.059998,402.0,404.540009,404.540009,2060500,1.0
2014-01-23,401.0,406.170013,397.790009,399.869995,399.869995,3025400,-1.0
2014-01-24,398.160004,400.200012,387.269989,387.600006,387.600006,4458400,1.0
2014-01-27,390.5,394.100006,380.48999,386.279999,386.279999,3936800,1.0
2014-01-28,387.399994,394.73999,387.119995,394.429993,394.429993,2894500,1.0
2014-01-29,392.160004,392.850006,383.23999,384.200012,384.200012,3382300,1.0
2014-01-30,393.769989,406.25,387.700012,403.01001,403.01001,10473900,1.0
2014-01-31,371.76001,375.450012,357.76001,358.690002,358.690002,16154800,-1.0
2014-02-03,358.980011,360.850006,340.100006,346.149994,346.149994,10280800,-1.0
2014-02-04,349.589996,354.0,344.019989,347.950012,347.950012,4812900,0.0
2014-02-05,346.0,349.369995,337.730011,346.450012,346.450012,4435400,0.0
2014-02-06,347.399994,354.820007,347.399994,354.589996,354.589996,3335700,1.0
2014-02-07,358.980011,361.799988,352.48999,361.079987,361.079987,4330500,1.0
2014-02-10,361.609985,365.0,359.350006,360.869995,360.869995,3449700,0.0
2014-02-11,361.839996,363.609985,356.25,361.790009,361.790009,3222100,0.0
2014-02-12,356.429993,357.75,346.320007,349.25,349.25,6587700,-1.0
2014-02-13,347.700012,357.200012,346.5,357.200012,357.200012,4175000,0.0
2014-02-14,359.339996,359.339996,353.350006,357.350006,357.350006,3520200,1.0
2014-02-18,355.279999,355.730011,349.450012,353.649994,353.649994,4998000,0.0
2014-02-19,352.640015,354.540009,346.100006,347.380005,347.380005,4168100,-1.0
2014-02-20,348.799988,350.459991,344.380005,349.799988,349.799988,3492800,-1.0
2014-02-21,352.440002,354.140015,346.75,346.76001,346.76001,4210000,1.0
